,id,length,cost/km (millions),cheap?,clength,ctunnel,anglo?,inflation index,real cost (2021 dollars)
103,7338.0,37.0,137.83783783783784,0.0,0.0,0.0,0.0,1.1290087372451638,5757.944559950335
104,7339.0,12.0,316.25000000000006,0.0,0.0,0.0,0.0,1.144608340091917,4343.788650648825
105,7344.0,33.0,90.18181818181819,0.0,0.0,0.0,0.0,1.1802137686524912,3512.3161755098135
106,7345.0,13.7,255.15766423357664,0.0,0.0,0.0,0.0,1.1802137686524912,4125.626062527767
107,7346.0,21.0,203.87142857142854,0.0,0.0,0.0,0.0,1.1054585509138382,4732.799694027414
108,7347.0,26.7,195.30187265917604,0.0,0.0,0.0,0.0,1.0469802288156225,5459.541221972792
109,7352.0,28.3,693.73851590106,0.0,0.0,0.0,0.0,1.0,19632.8
110,7353.0,22.8,167.17105263157893,0.0,0.0,0.0,0.0,1.079101737506322,4112.9962725053465
111,7354.0,11.0,604.5454545454545,0.0,0.0,0.0,0.0,1.0,6650.0
112,7355.0,15.6,209.07051282051282,0.0,0.0,0.0,0.0,1.0,3261.5
113,7360.0,4.2,99.04761904761904,0.0,0.0,0.0,0.0,1.1802137686524912,490.9689277594363
114,7361.0,4.7,165.95744680851064,0.0,0.0,0.0,0.0,1.143251327963817,891.7360358117772
115,7362.0,9.0,317.77777777777777,0.0,0.0,0.0,0.0,1.0,2860.0
116,7363.0,13.0,207.23999999999998,0.0,0.0,0.0,0.0,1.143251327963817,3080.0562676938785
117,7368.0,160.6,127.8922789539228,0.0,0.0,0.0,0.0,1.1290087372451638,23189.27495864704
118,7369.0,61.7,190.04644246353323,0.0,0.0,0.0,0.0,1.0,11725.8655
119,7370.0,42.3,239.29277777777781,0.0,0.0,0.0,0.0,1.0,10122.0845
120,7371.0,12.0,200.0,0.0,0.0,0.0,0.0,1.16317603677932,2791.622488270368
121,7376.0,31.0,185.80645161290323,0.0,0.0,0.0,0.0,1.1054585509138382,6367.441253263708
122,7377.0,27.0,213.33333333333334,0.0,0.0,0.0,0.0,1.1054585509138382,6367.441253263708
123,7378.0,56.0,35.245535714285715,1.0,56.0,38.0,0.0,1.688286604361371,3332.255685358256
124,7379.0,75.0,52.61666666666667,1.0,75.0,58.0,0.0,1.5300395256916999,6037.918478260871
125,7384.0,2.0,140.4,1.0,2.0,2.0,0.0,1.0,280.8
126,7385.0,6.0,66.73333333333333,1.0,6.0,2.8,0.0,1.0,400.40000000000003
127,7386.0,10.5,94.0952380952381,1.0,10.5,10.5,0.0,1.0,988.0
128,7387.0,4.6,89.0217391304348,1.0,4.6,4.6,0.0,1.2426624353377114,508.8702672707928
129,7392.0,3.0,82.76666666666667,1.0,3.0,3.0,0.0,1.1802137686524912,293.04707875641355
130,7393.0,22.9,166.76855895196508,0.0,0.0,0.0,0.0,1.1290087372451638,4311.68436753928
131,7394.0,7.5,91.66666666666667,1.0,7.5,7.5,0.0,1.3440972222222225,924.0668402777779
132,7395.0,9.2,164.56521739130437,0.0,0.0,0.0,0.0,1.4344626786659609,2171.776495500265
133,7400.0,5.5,147.27272727272728,0.0,0.0,0.0,1.0,1.66239263803681,1346.538036809816
134,7401.0,5.2,116.04807692307693,0.0,0.0,0.0,1.0,1.4344626786659609,865.6265034409741
135,7402.0,4.8,394.6854166666667,0.0,0.0,0.0,0.0,1.1290087372451638,2138.8957626235906
136,7403.0,3.4,355.2058823529412,0.0,0.0,0.0,0.0,1.1802137686524912,1425.3441684016136
137,7408.0,1.6,1500.0,0.0,0.0,0.0,1.0,1.2426624353377114,2982.3898448105074
138,7409.0,2.7,1704.074074074074,0.0,0.0,0.0,1.0,1.2046377017769263,5542.538065875638
139,7410.0,2.6,2672.6923076923076,0.0,0.0,0.0,1.0,1.0,6949.0
140,7411.0,2.8,3928.571428571429,0.0,0.0,0.0,1.0,1.143251327963817,12575.764607601986
141,7416.0,5.3,1792.4528301886794,0.0,0.0,0.0,1.0,1.0,9500.0
142,7417.0,21.0,888.5333333333332,0.0,0.0,0.0,1.0,1.143251327963817,21332.15517874245
143,7418.0,1.8,274.44444444444446,0.0,0.0,0.0,0.0,1.2046377017769263,595.0910246778016
144,7419.0,8.0,292.5,0.0,0.0,0.0,0.0,1.1802137686524912,2761.7002186468294
145,7424.0,1.5,160.59333333333333,0.0,0.0,0.0,0.0,1.2426624353377114,299.34495404850134
146,7425.0,1.3,79.8076923076923,0.0,0.0,0.0,0.0,1.3874551971326166,143.94847670250897
