,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,cost,currency,year,ppp_rate,real_cost,cost_p_km_millions,anglo,inflation_index,real_cost_2021_dollars,cost_p_km_2021_dollars
715,CN,Qingdao,Qingdao-Pingdu Intercity Rail,,2020,0.0,60,0.2,12,,,10,117,20763,CNY,2020.0,0.239,4962.357,82.70595,0.0,1.0469802288156225,5195.489667324806,86.59149445541344
717,CN,Qingdao,Line 8,,2021,0.0,61.4,,,,,16,117,32100,CNY,2021.0,0.239000000000001,7671.9000000000315,124.94951140065199,0.0,1.0,7671.9000000000315,124.94951140065199
720,CN,Qingdao,Line 1 + Line 7 Phase 1,,2021,0.0,59.97,1,59.97,,,40,117,39990,CNY,2021.0,0.239000000000001,9557.610000000039,159.3731865932973,0.0,1.0,9557.610000000039,159.3731865932973
727,CN,Urumqi,Line 2,,2021,0.0,19.35,,,,,16,138,16260,CNY,2021.0,0.239000000000001,3886.1400000000162,200.8341085271326,0.0,1.0,3886.1400000000162,200.8341085271326
750,CN,Shenyang,Line 4 Phase 1,,2022,0.0,34.2,1,34.2,,,23,117,16632,CNY,2021.0,0.239000000000001,3975.0480000000166,116.229473684211,0.0,1.0,3975.0480000000166,116.229473684211
766,CN,Zhengzhou,Zhengxu Regional Rail (Xucheng Section),,2022,1.0,33.78,0.12,4.016,,,11,117,9879,CNY,2021.0,0.239000000000001,2361.0810000000097,69.89582593250472,0.0,1.0,2361.0810000000097,69.89582593250472
775,CN,Changchun,Line 2,,2020,0.0,22.8,1,22.8,,,19,117,15400,CNY,2020.0,0.239,3680.6,161.4298245614035,0.0,1.0469802288156225,3853.5154301787798,169.01383465696404
823,CN,Guiyang,Line 2 Phase 1,,2021,0.0,27.6,1,27.6,,,24,117,19459,CNY,2021.0,0.239000000000001,4650.701000000019,168.50365942029055,0.0,1.0,4650.701000000019,168.50365942029055
824,CN,Hangzhou,Hangzhou-Haining Line,,2021,0.0,48.18,0.31,14.81,,,12,78,13611,CNY,2021.0,0.239000000000001,3253.0290000000136,67.51824408468272,0.0,1.0,3253.0290000000136,67.51824408468272
830,CN,Hangzhou,Hangfu Line,,2021,0.0,23.508,1,23.508,,,11,117,13298,CNY,2021.0,0.239000000000001,3178.222000000013,135.19746469287108,0.0,1.0,3178.222000000013,135.19746469287108
835,CN,Hangzhou,Line 6 Phase 1,,2021,0.0,26.955,1,26.955,,,19,117,17830,CNY,2021.0,0.239000000000001,4261.370000000018,158.09200519384225,0.0,1.0,4261.370000000018,158.09200519384225
877,CN,Wuhu,Line 1,,2021,0.0,30.517,0,0.1,,,25,90,9100,CNY,2021.0,0.239000000000002,2174.9000000000183,71.26847330995898,0.0,1.0,2174.9000000000183,71.26847330995898
878,CN,Wuhu,Line 2,,2021,0.0,14.94,0.09,1.3,,,11,90,5533,CNY,2021.0,0.239000000000002,1322.387000000011,88.51318607764465,0.0,1.0,1322.387000000011,88.51318607764465
887,CN,Xi'an,Line 1 Phase 1,,2013,0.0,25.36,1,25.36,,,19,117,13490,CNY,2013.0,0.273,3682.7700000000004,145.2196372239748,0.0,1.16317603677932,4283.709812969777,168.9160020887136
